sample_id,target,aspector,angle_deg,nature,nature_reason,base_virupa,special_bonus_virupa,gross_virupa,raw_signed_virupa,normalized_signed_virupa
gann_reference_tokyo,MERCURY,MOON,249.07,benefic,Moon is waxing; Sun-to-Moon elongation is 119.81 degrees.,25.47,0.0,25.47,25.47,6.3675
gann_reference_tokyo,MERCURY,MARS,336.16,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",0.0,0.0,0.0,0.0,0.0
gann_reference_tokyo,MERCURY,JUPITER,60.16,benefic,Jupiter and Venus are treated as natural benefics.,15.16,0.0,15.16,15.16,3.79
gann_reference_tokyo,MERCURY,VENUS,322.48,benefic,Jupiter and Venus are treated as natural benefics.,0.0,0.0,0.0,0.0,0.0
gann_reference_tokyo,MERCURY,SATURN,194.52,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",52.74,0.0,52.74,-52.74,-13.185
gann_reference_tokyo,JUPITER,SUN,308.72,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",0.0,0.0,0.0,0.0,0.0
gann_reference_tokyo,JUPITER,MOON,188.91,benefic,Moon is waxing; Sun-to-Moon elongation is 119.81 degrees.,55.55,0.0,55.55,55.55,13.8875
gann_reference_tokyo,JUPITER,MARS,276.00,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",12.0,0.0,12.0,-12.0,-3.0
gann_reference_tokyo,JUPITER,MERCURY,299.84,malefic,Mercury shares its sign with more malefics than benefics.,0.08,0.0,0.08,-0.08,-0.02
gann_reference_tokyo,JUPITER,VENUS,262.32,benefic,Jupiter and Venus are treated as natural benefics.,18.84,0.0,18.84,18.84,4.71
gann_reference_tokyo,JUPITER,SATURN,134.36,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",15.64,0.0,15.64,-15.64,-3.91
gann_reference_tokyo,VENUS,SUN,46.41,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",8.2,0.0,8.2,-8.2,-2.05
gann_reference_tokyo,VENUS,MOON,286.59,benefic,Moon is waxing; Sun-to-Moon elongation is 119.81 degrees.,6.71,0.0,6.71,6.71,1.6775
gann_reference_tokyo,VENUS,MARS,13.68,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",0.0,0.0,0.0,0.0,0.0
gann_reference_tokyo,VENUS,MERCURY,37.52,malefic,Mercury shares its sign with more malefics than benefics.,3.76,0.0,3.76,-3.76,-0.94
gann_reference_tokyo,VENUS,JUPITER,97.68,benefic,Jupiter and Venus are treated as natural benefics.,41.16,0.0,41.16,41.16,10.29
gann_reference_tokyo,VENUS,SATURN,232.04,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",33.98,0.0,33.98,-33.98,-8.495
gann_reference_tokyo,SATURN,SUN,174.36,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",48.72,0.0,48.72,-48.72,-12.18
gann_reference_tokyo,SATURN,MOON,54.55,benefic,Moon is waxing; Sun-to-Moon elongation is 119.81 degrees.,12.27,0.0,12.27,12.27,3.0675
gann_reference_tokyo,SATURN,MARS,141.64,malefic,"Sun, Mars, and Saturn are treated as natural malefics.",8.36,0.0,8.36,-8.36,-2.09
gann_reference_tokyo,SATURN,MERCURY,165.48,malefic,Mercury shares its sign with more malefics than benefics.,30.96,0.0,30.96,-30.96,-7.74
gann_reference_tokyo,SATURN,JUPITER,225.64,benefic,Jupiter and Venus are treated as natural benefics.,37.18,0.0,37.18,37.18,9.295
gann_reference_tokyo,SATURN,VENUS,127.96,benefic,Jupiter and Venus are treated as natural benefics.,22.04,0.0,22.04,22.04,5.51
