sample_id,planet,component,local_value_virupa,external_value_virupa,signed_delta_virupa,absolute_delta_virupa,tolerance_virupa,pass_fail,external_source
case_103_event_start,MERCURY,sthana,164.474011127,186.730000000,-22.255988873,22.255988873,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,MOON,chesta,97.748801011,0.000000000,97.748801011,97.748801011,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,MOON,dig,0.007118679,0.010000000,-0.002881321,0.002881321,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,MOON,drik,10.360000000,10.360000000,0.000000000,0.000000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,MOON,kaala,236.198701011,145.870000000,90.328701011,90.328701011,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,MOON,naisargika,51.430000000,51.430000000,0.000000000,0.000000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,MOON,sthana,208.906354958,160.910000000,47.996354958,47.996354958,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,SATURN,chesta,30.000000000,101.980000000,-71.980000000,71.980000000,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,SATURN,dig,0.628224971,0.630000000,-0.001775029,0.001775029,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,SATURN,drik,-20.930000000,-20.930000000,0.000000000,0.000000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,SATURN,kaala,92.303540358,53.990000000,38.313540358,38.313540358,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,SATURN,naisargika,8.570000000,8.570000000,0.000000000,0.000000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,SATURN,sthana,229.510289596,172.010000000,57.500289596,57.500289596,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,SUN,chesta,107.603570527,0.000000000,107.603570527,107.603570527,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,SUN,dig,11.118480816,11.120000000,-0.001519184,0.001519184,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,SUN,drik,-4.430000000,-4.430000000,0.000000000,0.000000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,SUN,kaala,205.279270022,124.470000000,80.809270022,80.809270022,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,SUN,naisargika,60.000000000,60.000000000,0.000000000,0.000000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,SUN,sthana,162.552577869,150.050000000,12.502577869,12.502577869,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,VENUS,chesta,30.000000000,19.590000000,10.410000000,10.410000000,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,VENUS,dig,33.976983157,33.980000000,-0.003016843,0.003016843,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,VENUS,drik,-19.540000000,-19.540000000,0.000000000,0.000000000,0.500000000,pass,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
case_103_event_start,VENUS,kaala,139.562730452,181.140000000,-41.577269548,41.577269548,0.500000000,fail,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates
