sample_id,local_time,utc_time,jd_ut,ayanamsa,ayanamsa_deg,planet,tropical_lon_deg,sidereal_lon_deg,speed_deg_day,baseline_status
case_127_sr_touch_start,2025-05-28T22:00:00+05:30,2025-05-28T16:30:00+00:00,2460824.1875,Raman,22.765690703,SUN,67.593225467,44.827534764,0.960021689,self_consistency_generated_pending_external_reference
case_127_sr_touch_start,2025-05-28T22:00:00+05:30,2025-05-28T16:30:00+00:00,2460824.1875,Raman,22.765690703,MOON,89.361524129,66.595833426,14.669883446,self_consistency_generated_pending_external_reference
case_127_sr_touch_start,2025-05-28T22:00:00+05:30,2025-05-28T16:30:00+00:00,2460824.1875,Raman,22.765690703,MARS,139.303354007,116.537663304,0.526611474,self_consistency_generated_pending_external_reference
case_127_sr_touch_start,2025-05-28T22:00:00+05:30,2025-05-28T16:30:00+00:00,2460824.1875,Raman,22.765690703,MERCURY,65.752895634,42.987204931,2.191072562,self_consistency_generated_pending_external_reference
case_127_sr_touch_start,2025-05-28T22:00:00+05:30,2025-05-28T16:30:00+00:00,2460824.1875,Raman,22.765690703,JUPITER,87.26038308,64.494692378,0.222384692,self_consistency_generated_pending_external_reference
case_127_sr_touch_start,2025-05-28T22:00:00+05:30,2025-05-28T16:30:00+00:00,2460824.1875,Raman,22.765690703,VENUS,21.786715557,359.021024854,0.936187798,self_consistency_generated_pending_external_reference
case_127_sr_touch_start,2025-05-28T22:00:00+05:30,2025-05-28T16:30:00+00:00,2460824.1875,Raman,22.765690703,SATURN,0.258714804,337.493024101,0.070828183,self_consistency_generated_pending_external_reference
case_127_sr_touch_start,2025-05-28T22:00:00+05:30,2025-05-28T16:30:00+00:00,2460824.1875,Raman,22.765690703,RAHU_TRUE_NODE,354.38831657,331.622625868,-0.16760729,self_consistency_generated_pending_external_reference
case_127_sr_touch_start,2025-05-28T22:00:00+05:30,2025-05-28T16:30:00+00:00,2460824.1875,Raman,22.765690703,KETU_DERIVED,nan,151.622625868,nan,derived_from_true_node_plus_180_pending_external_reference
gann_reference_tokyo,1889-02-11T00:00:00+09:00,1889-02-10T15:00:00+00:00,2411044.125,Raman,20.862224307,SUN,322.131180136,301.26895583,1.010964501,self_consistency_generated_pending_external_reference
gann_reference_tokyo,1889-02-11T00:00:00+09:00,1889-02-10T15:00:00+00:00,2411044.125,Raman,20.862224307,MOON,81.945867284,61.083642978,11.861393629,self_consistency_generated_pending_external_reference
gann_reference_tokyo,1889-02-11T00:00:00+09:00,1889-02-10T15:00:00+00:00,2411044.125,Raman,20.862224307,MARS,354.855819027,333.99359472,0.769351869,self_consistency_generated_pending_external_reference
gann_reference_tokyo,1889-02-11T00:00:00+09:00,1889-02-10T15:00:00+00:00,2411044.125,Raman,20.862224307,MERCURY,331.016372977,310.15414867,-0.767204059,self_consistency_generated_pending_external_reference
gann_reference_tokyo,1889-02-11T00:00:00+09:00,1889-02-10T15:00:00+00:00,2411044.125,Raman,20.862224307,JUPITER,270.854230685,249.992006378,0.180997559,self_consistency_generated_pending_external_reference
gann_reference_tokyo,1889-02-11T00:00:00+09:00,1889-02-10T15:00:00+00:00,2411044.125,Raman,20.862224307,VENUS,8.536251414,347.674027108,1.056156971,self_consistency_generated_pending_external_reference
gann_reference_tokyo,1889-02-11T00:00:00+09:00,1889-02-10T15:00:00+00:00,2411044.125,Raman,20.862224307,SATURN,136.495627033,115.633402726,-0.080979048,self_consistency_generated_pending_external_reference
gann_reference_tokyo,1889-02-11T00:00:00+09:00,1889-02-10T15:00:00+00:00,2411044.125,Raman,20.862224307,RAHU_TRUE_NODE,110.932266164,90.070041857,0.028834281,self_consistency_generated_pending_external_reference
gann_reference_tokyo,1889-02-11T00:00:00+09:00,1889-02-10T15:00:00+00:00,2411044.125,Raman,20.862224307,KETU_DERIVED,nan,270.070041857,nan,derived_from_true_node_plus_180_pending_external_reference
