sample_id,planet,planet_longitude_deg,chesta_true_longitude_deg,ascendant_longitude_deg,classical_longitudes_json,mean_sun_longitude_deg,mean_planet_longitude_deg,seegrocha_longitude_deg,mean_true_midpoint_linear_deg,reduced_chesta_kendra_deg,external_chesta_virupa,source
case_43_event_start,MERCURY,334.654615001240,334.654615001240,3.662490186944,"{""JUPITER"":53.67272405432495,""MARS"":91.80377512308438,""MERCURY"":334.65461500124,""MOON"":66.1768117869769,""SATURN"":332.07658902409105,""SUN"":351.59281916108165,""VENUS"":333.56072551828595}",347.599606289630,189.656653535466,189.656653535466,341.127110645435,151.470457109969,50.490000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_43_event_start,JUPITER,53.672724054325,53.672724054325,3.662490186944,"{""JUPITER"":53.67272405432495,""MARS"":91.80377512308438,""MERCURY"":334.65461500124,""MOON"":66.1768117869769,""SATURN"":332.07658902409105,""SUN"":351.59281916108165,""VENUS"":333.56072551828595}",347.599606289630,57.456688822210,347.599606289630,55.564706438267,292.034899851363,97.340000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_43_event_start,VENUS,333.560725518286,333.560725518286,3.662490186944,"{""JUPITER"":53.67272405432495,""MARS"":91.80377512308438,""MERCURY"":334.65461500124,""MOON"":66.1768117869769,""SATURN"":332.07658902409105,""SUN"":351.59281916108165,""VENUS"":333.56072551828595}",347.599606289630,179.981276444192,179.981276444192,340.580165903958,160.598889459766,53.530000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_43_event_start,SATURN,332.076589024091,332.076589024091,3.662490186944,"{""JUPITER"":53.67272405432495,""MARS"":91.80377512308438,""MERCURY"":334.65461500124,""MOON"":66.1768117869769,""SATURN"":332.07658902409105,""SUN"":351.59281916108165,""VENUS"":333.56072551828595}",347.599606289630,331.682820808329,347.599606289630,331.879704916210,15.719901373420,5.240000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_103_event_start,SUN,32.347760172399,32.347760172399,334.584456299058,"{""JUPITER"":61.66639895270059,""MARS"":109.88570629633378,""MERCURY"":16.434878507698436,""MOON"":245.71911979298045,""SATURN"":336.4740524302853,""SUN"":32.3477601723991,""VENUS"":347.6311803988172}",,,,,,0.000000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_103_event_start,MOON,245.719119792980,245.719119792980,334.584456299058,"{""JUPITER"":61.66639895270059,""MARS"":109.88570629633378,""MERCURY"":16.434878507698436,""MOON"":245.71911979298045,""SATURN"":336.4740524302853,""SUN"":32.3477601723991,""VENUS"":347.6311803988172}",,,,,,0.000000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_103_event_start,MARS,109.885706296334,109.885706296334,334.584456299058,"{""JUPITER"":61.66639895270059,""MARS"":109.88570629633378,""MERCURY"":16.434878507698436,""MOON"":245.71911979298045,""SATURN"":336.4740524302853,""SUN"":32.3477601723991,""VENUS"":347.6311803988172}",28.830539623115,145.468603452222,28.830539623115,127.677154874278,98.846615251162,32.950000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_103_event_start,MERCURY,16.434878507698,16.434878507698,334.584456299058,"{""JUPITER"":61.66639895270059,""MARS"":109.88570629633378,""MERCURY"":16.434878507698436,""MOON"":245.71911979298045,""SATURN"":336.4740524302853,""SUN"":32.3477601723991,""VENUS"":347.6311803988172}",28.830539623115,0.854986869440,0.854986869440,22.632709065407,21.777722195967,7.260000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_103_event_start,JUPITER,61.666398952701,61.666398952701,334.584456299058,"{""JUPITER"":61.66639895270059,""MARS"":109.88570629633378,""MERCURY"":16.434878507698436,""MOON"":245.71911979298045,""SATURN"":336.4740524302853,""SUN"":32.3477601723991,""VENUS"":347.6311803988172}",28.830539623115,60.943355488889,28.830539623115,61.304877220795,32.474337597679,10.820000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
case_103_event_start,VENUS,347.631180398817,347.631180398817,334.584456299058,"{""JUPITER"":61.66639895270059,""MARS"":109.88570629633378,""MERCURY"":16.434878507698436,""MOON"":245.71911979298045,""SATURN"":336.4740524302853,""SUN"":32.3477601723991,""VENUS"":347.6311803988172}",28.830539623115,246.994609777776,246.994609777776,188.230860010966,58.763749766810,19.590000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa
