contract,sample_id,planet,sthana_subcomponent,jhora_value_virupa,tolerance_virupa,jhora_evidence_path,jhora_evidence_sha256,source_profile_id,source_value_virupa,source_signed_delta_virupa,source_absolute_delta_virupa,source_pass_fail,pyjhora_profile_id,pyjhora_value_virupa,pyjhora_signed_delta_virupa,pyjhora_absolute_delta_virupa,pyjhora_pass_fail,jhora_visible_profile_id,jhora_visible_value_virupa,jhora_visible_signed_delta_virupa,jhora_visible_absolute_delta_virupa,jhora_visible_pass_fail,nearest_profile
GANN_JHORA_STHANA_SUBCOMPONENT_COMPARATOR_V1,case_103_event_start,MERCURY,drekkana,15.000000000,0.500000000,D:\PycharmProjects\status\evidence\jhora_sthana_subcomponents_20260729\case_103_event_start_visible_sthana_subcomponents.jpg,6921C45C2927D9DB53E7E6F3D06533907ED9E8B90A43EE8C3997FABB180196EF,bphs_ch27_source,15.000000000,0.000000000,0.000000000,pass,pyjhora_4_8_7_compatibility,15.000000000,0.000000000,0.000000000,pass,jhora_8_visible_compatibility,15.000000000,0.000000000,0.000000000,pass,tie
GANN_JHORA_STHANA_SUBCOMPONENT_COMPARATOR_V1,case_103_event_start,MERCURY,kendradi,30.000000000,0.500000000,D:\PycharmProjects\status\evidence\jhora_sthana_subcomponents_20260729\case_103_event_start_visible_sthana_subcomponents.jpg,6921C45C2927D9DB53E7E6F3D06533907ED9E8B90A43EE8C3997FABB180196EF,bphs_ch27_source,30.000000000,0.000000000,0.000000000,pass,pyjhora_4_8_7_compatibility,30.000000000,0.000000000,0.000000000,pass,jhora_8_visible_compatibility,30.000000000,0.000000000,0.000000000,pass,tie
GANN_JHORA_STHANA_SUBCOMPONENT_COMPARATOR_V1,case_103_event_start,MERCURY,ojayugma,30.000000000,0.500000000,D:\PycharmProjects\status\evidence\jhora_sthana_subcomponents_20260729\case_103_event_start_visible_sthana_subcomponents.jpg,6921C45C2927D9DB53E7E6F3D06533907ED9E8B90A43EE8C3997FABB180196EF,bphs_ch27_source,30.000000000,0.000000000,0.000000000,pass,pyjhora_4_8_7_compatibility,30.000000000,0.000000000,0.000000000,pass,jhora_8_visible_compatibility,30.000000000,0.000000000,0.000000000,pass,tie
GANN_JHORA_STHANA_SUBCOMPONENT_COMPARATOR_V1,case_103_event_start,MERCURY,saptavargaja,101.250000000,0.500000000,D:\PycharmProjects\status\evidence\jhora_sthana_subcomponents_20260729\case_103_event_start_visible_sthana_subcomponents.jpg,6921C45C2927D9DB53E7E6F3D06533907ED9E8B90A43EE8C3997FABB180196EF,bphs_ch27_source,94.000000000,-7.250000000,7.250000000,fail,pyjhora_4_8_7_compatibility,101.250000000,0.000000000,0.000000000,pass,jhora_8_visible_compatibility,101.250000000,0.000000000,0.000000000,pass,tie
GANN_JHORA_STHANA_SUBCOMPONENT_COMPARATOR_V1,case_103_event_start,MERCURY,uchcha,10.470000000,0.500000000,D:\PycharmProjects\status\evidence\jhora_sthana_subcomponents_20260729\case_103_event_start_visible_sthana_subcomponents.jpg,6921C45C2927D9DB53E7E6F3D06533907ED9E8B90A43EE8C3997FABB180196EF,bphs_ch27_source,10.474014809,0.004014809,0.004014809,pass,pyjhora_4_8_7_compatibility,10.474014809,0.004014809,0.004014809,pass,jhora_8_visible_compatibility,10.474014809,0.004014809,0.004014809,pass,tie
GANN_JHORA_STHANA_SUBCOMPONENT_COMPARATOR_V1,case_103_event_start,MOON,drekkana,0.000000000,0.500000000,D:\PycharmProjects\status\evidence\jhora_sthana_subcomponents_20260729\case_103_event_start_visible_sthana_subcomponents.jpg,6921C45C2927D9DB53E7E6F3D06533907ED9E8B90A43EE8C3997FABB180196EF,bphs_ch27_source,0.000000000,0.000000000,0.000000000,pass,pyjhora_4_8_7_compatibility,0.000000000,0.000000000,0.000000000,pass,jhora_8_visible_compatibility,0.000000000,0.000000000,0.000000000,pass,tie
GANN_JHORA_STHANA_SUBCOMPONENT_COMPARATOR_V1,case_103_event_start,MOON,kendradi,60.000000000,0.500000000,D:\PycharmProjects\status\evidence\jhora_sthana_subcomponents_20260729\case_103_event_start_visible_sthana_subcomponents.jpg,6921C45C2927D9DB53E7E6F3D06533907ED9E8B90A43EE8C3997FABB180196EF,bphs_ch27_source,60.000000000,0.000000000,0.000000000,pass,pyjhora_4_8_7_compatibility,60.000000000,0.000000000,0.000000000,pass,jhora_8_visible_compatibility,60.000000000,0.000000000,0.000000000,pass,tie
GANN_JHORA_STHANA_SUBCOMPONENT_COMPARATOR_V1,case_103_event_start,MOON,ojayugma,15.000000000,0.500000000,D:\PycharmProjects\status\evidence\jhora_sthana_subcomponents_20260729\case_103_event_start_visible_sthana_subcomponents.jpg,6921C45C2927D9DB53E7E6F3D06533907ED9E8B90A43EE8C3997FABB180196EF,bphs_ch27_source,15.000000000,0.000000000,0.000000000,pass,pyjhora_4_8_7_compatibility,15.000000000,0.000000000,0.000000000,pass,jhora_8_visible_compatibility,15.000000000,0.000000000,0.000000000,pass,tie
GANN_JHORA_STHANA_SUBCOMPONENT_COMPARATOR_V1,case_103_event_start,MOON,saptavargaja,75.000000000,0.500000000,D:\PycharmProjects\status\evidence\jhora_sthana_subcomponents_20260729\case_103_event_start_visible_sthana_subcomponents.jpg,6921C45C2927D9DB53E7E6F3D06533907ED9E8B90A43EE8C3997FABB180196EF,bphs_ch27_source,78.000000000,3.000000000,3.000000000,fail,pyjhora_4_8_7_compatibility,75.000000000,0.000000000,0.000000000,pass,jhora_8_visible_compatibility,75.000000000,0.000000000,0.000000000,pass,tie
GANN_JHORA_STHANA_SUBCOMPONENT_COMPARATOR_V1,case_103_event_start,MOON,uchcha,10.910000000,0.500000000,D:\PycharmProjects\status\evidence\jhora_sthana_subcomponents_20260729\case_103_event_start_visible_sthana_subcomponents.jpg,6921C45C2927D9DB53E7E6F3D06533907ED9E8B90A43EE8C3997FABB180196EF,bphs_ch27_source,10.906349851,-0.003650149,0.003650149,pass,pyjhora_4_8_7_compatibility,10.906349851,-0.003650149,0.003650149,pass,jhora_8_visible_compatibility,10.906349851,-0.003650149,0.003650149,pass,tie
