sample_id,target,aspector,angle_deg,nature,gross_virupa,raw_signed_virupa,normalized_signed_virupa,source
case_8_event_start,JUPITER,SATURN,81.35,malefic,81.35,-81.35,-20.337500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,VENUS,SUN,22.94,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,VENUS,MOON,281.59,benefic,9.21,9.21,2.302500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,VENUS,MARS,262.40,malefic,18.80,-18.80,-4.700000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,VENUS,MERCURY,4.80,benefic,0.00,0.00,0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,VENUS,JUPITER,297.33,benefic,1.34,1.34,0.335000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,VENUS,SATURN,18.69,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,SATURN,SUN,4.25,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,SATURN,MOON,262.90,benefic,18.55,18.55,4.637500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,SATURN,MARS,243.71,malefic,28.14,-28.14,-7.035000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,SATURN,MERCURY,346.11,benefic,0.00,0.00,0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,SATURN,JUPITER,278.65,benefic,10.68,10.68,2.670000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_8_event_start,SATURN,VENUS,341.31,benefic,0.00,0.00,0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,SUN,MOON,285.42,benefic,7.29,7.29,1.822500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,SUN,MARS,259.79,malefic,20.10,-20.10,-5.025000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,SUN,MERCURY,16.94,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,SUN,JUPITER,297.92,benefic,1.04,1.04,0.260000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,SUN,VENUS,18.03,benefic,0.00,0.00,0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,SUN,SATURN,19.52,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,MOON,SUN,74.58,malefic,29.58,-29.58,-7.395000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,MOON,MARS,334.37,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,MOON,MERCURY,91.52,malefic,44.24,-44.24,-11.060000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,MOON,JUPITER,12.50,benefic,0.00,0.00,0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,MOON,VENUS,92.62,benefic,43.69,43.69,10.922500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,MOON,SATURN,94.10,malefic,42.95,-42.95,-10.737500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,MARS,SUN,100.21,malefic,39.90,-39.90,-9.975000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,MARS,MOON,25.63,benefic,0.00,0.00,0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,MARS,MERCURY,117.15,malefic,31.42,-31.42,-7.855000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,MARS,JUPITER,38.13,benefic,4.07,4.07,1.017500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,MARS,VENUS,118.24,benefic,30.88,30.88,7.720000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,MARS,SATURN,119.73,malefic,30.13,-30.13,-7.532500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,MERCURY,SUN,343.06,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,MERCURY,MOON,268.48,benefic,15.76,15.76,3.940000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,MERCURY,MARS,242.85,malefic,28.58,-28.58,-7.145000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,MERCURY,JUPITER,280.98,benefic,9.51,9.51,2.377500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,MERCURY,VENUS,1.09,benefic,0.00,0.00,0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,MERCURY,SATURN,2.58,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,JUPITER,SUN,62.08,malefic,17.08,-17.08,-4.270000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,JUPITER,MOON,347.50,benefic,0.00,0.00,0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,JUPITER,MARS,321.87,malefic,0.00,-0.00,-0.000000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,JUPITER,MERCURY,79.02,malefic,34.02,-34.02,-8.505000,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
case_43_event_start,JUPITER,VENUS,80.11,benefic,35.11,35.11,8.777500,PyJHora 4.8.7; Raman; wheel D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D
